ID,最近一次消費天數,最近一次消費天數_級距,最近一次消費天數_組數,消費頻率,消費頻率_級距,消費頻率_組數,消費金額,消費金額_級距,消費金額_組數,cluster
27,298,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',3118,'\'(712.5-inf)\'','\'B5of5\'',cluster2
28,226,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',56,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
29,239,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',99,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
30,402,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
31,25,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',675,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
32,73,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',1190,'\'(712.5-inf)\'','\'B5of5\'',cluster5
33,428,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
34,394,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
35,470,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
36,402,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
37,45,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',1397,'\'(712.5-inf)\'','\'B5of5\'',cluster5
38,259,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',536,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
39,261,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',1296,'\'(712.5-inf)\'','\'B5of5\'',cluster2
40,143,'\'(97.5-215.5]\'','\'B2of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',225,'\'(135.5-354.5]\'','\'B3of5\'',cluster1
41,87,'\'(-inf-97.5]\'','\'B1of5\'',4,'\'(3.5-inf)\'','\'B5of5\'',724,'\'(712.5-inf)\'','\'B5of5\'',cluster5
42,381,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
43,88,'\'(-inf-97.5]\'','\'B1of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',297,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
44,478,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
45,389,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
46,242,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',97,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
47,17,'\'(-inf-97.5]\'','\'B1of5\'',4,'\'(3.5-inf)\'','\'B5of5\'',819,'\'(712.5-inf)\'','\'B5of5\'',cluster5
48,298,'\'(215.5-313.5]\'','\'B3of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',802,'\'(712.5-inf)\'','\'B5of5\'',cluster2
49,346,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',493,'\'(354.5-712.5]\'','\'B4of5\'',cluster2
50,408,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
51,291,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',112,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
52,8,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',464,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
53,101,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',494,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
54,247,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',56,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
55,115,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',157,'\'(135.5-354.5]\'','\'B3of5\'',cluster5
56,247,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',720,'\'(712.5-inf)\'','\'B5of5\'',cluster1
